章,問題文,日本語1,ラテン語1,日本語2,ラテン語2,日本語3,ラテン語3,日本語4,ラテン語4,日本語5,ラテン語5
§1,"[ 1 ] とはあおむけのことである",背臥位,supine position,,,,,,,,
§1,"[ 1 ] の下縁をオトガイから外側後方に辿ると [ 2 ] という突出部がある",下顎骨,mandibula,下顎角,angulus mandibulae,,,,,,
§1,"外耳のすぐ後ろに側頭骨の [ 1 ] の存在を確認できる",乳様突起,proc.mastoideus,,,,,,,,
§1,"俗に言う のどぼとけ Adam's apple は [ 1 ] の高まりである",甲状軟骨,cartilago thyreoidea,,,,,,,,
§1,"[ 1 ] の内側近くに胸骨の [ 2 ] があり、外側近くには肩甲骨に属する [ 3 ] がある",鎖骨,clavicula,頚切痕,incisura jugularis,肩峰,acromion,,,,
§1,"骨の末端肥大を [ 1 ] という",先端巨大症,acromegalia,,,,,,,,
§1,"[ 1 ] では第2肋骨との連結の高さに相当して [ 2 ] という水平の高まりと下端に [ 3 ] がある",胸骨,sternum,胸骨角,angulus sterni,剣状突起,proc.xiphoideus,,,,
§1,"胸骨の下端には有対性の [ 1 ] があり、左右のそれが正中で作る角が [ 2 ] である",肋骨弓,arcus costalis,胸骨下角,angulus infrasternalis,,,,,,
§1,"腰部では体表から確認できる [ 1 ] の後方に [ 2 ] をたどることができる",上前腸骨棘,spina iliaca anterior superior,腸骨稜,crista iliaca,,,,,,
§1,"下腹部では [ 1 ] に触れることで [ 2 ] の位置を見当づける",恥骨結節,tuberculum pubicum,恥骨結合,symphysis pubica,,,,,,
§1,"[ 1 ] は俗にチクビと言われ、若い女性の遺体では [ 2 ] の開口も見える",乳頭,papilla mammae,乳管,ductus lactiferi,,,,,,
§1,"乳頭を輪状に取り巻く着色部が [ 1 ] であり、 [ 2 ] が粟粒に様に隆起して見えることがある",乳輪,areola mammae,乳輪腺,gll.areolares,,,,,,
§1,"女性の遺体の胸部では [ 1 ] が全体として高まっている",乳房,mamma,,,,,,,,
§1,"腹部の [ 1 ] には脂肪組織が少ないので太った遺体では周囲からくぼんでいる",臍,umbilicus,,,,,,,,
§1,"解剖学や臨床医学で短い距離を大まかに表現する尺度として [ 1 ] という単位をよく使う。1 横指＝1 本の指の幅(2cm 弱)",横指,finger breadth,,,,,,,,
§1,"正中から1横指以上離れた所で真皮のすぐ下に紙の様に薄い [ 1 ] と腹部の皮静脈がある",広頚筋,platysma,,,,,,,,
§1,"皮膚は [ 1 ] と [ 2 ] とで構成され、その下層に [ 3 ] がある",表皮,epidermis,真皮,corium,皮下組織,tela subcutanea,,,,
§2,"頚部の皮切りが十分薄く行われると [ 1 ] の下に [ 2 ] が白い筋膜をかぶって表れる",真皮,corium,広頚筋,platysma,,,,,,
§2,"広頚筋は顔面表情筋に属するので [ 1 ] であって [ 2 ] から起こり鎖骨下部で胸の皮膚(真皮)に付く",皮筋,cutaneous muscle,下顎骨,mandibula,,,,,,
§2,"筋の収縮時に、より多く動く方の付着部が [ 1 ] である",停止,insertion,,,,,,,,
§2,"女性の [ 1 ] の皮下の結合組織線維を取り去ると乳頭を中心とする円盤状の塊として固くて白い [ 2 ] の腺体が掘り出る",乳房,mamma,乳腺,gl.mammaria,,,,,,
§2,"乳腺には [ 1 ] の枝、 [ 2 ] の枝などが分布する",外側胸動脈,a.thoracica lateralis,肋間動脈,aa.intercostales,,,,,,
§2,"乳腺は皮膚に属する腺なので下層にある [ 1 ] との結合はゆるく容易くはがし取れる",胸筋筋膜,fascia pectoralis,,,,,,,,
§2,"生体では女性の乳腺は乳房と共に容易く動かせるが [ 1 ] が進行して下層の胸筋膜と癒着すると簡単には動かせなくなる",乳癌,breast cancer,,,,,,,,
§3,"[ 1 ] の外側から腋窩にかけての皮下には [ 2 ] という、動脈と伴行せず腹壁の皮静脈と吻合する皮静脈がある",乳輪,areola mammae,胸腹壁静脈,v.thoracoepigastrica,,,,,,
§3,"臍の外側下方の [ 1 ] は胸腹壁静脈と吻合し、臍に向かう何本かの細い枝は [ 2 ] と吻合する",浅腹壁静脈,v.epigastrica superficialis,臍傍静脈,vv.paraumbilicales,,,,,,
§3,"[ 1 ] に接する部位の皮下には [ 2 ] というもう1つの皮静脈があり胸腹壁静脈と浅腹壁静脈の枝と吻合する",腸骨稜,crista iliaca,浅腸骨回旋静脈,v.circumflexa ilium superficialis,,,,,,
§3,"首の根元から鎖骨部にかけたところで、 [ 1 ] という細い皮神経が何本か広頚筋を貫いて表皮に表れている",鎖骨上神経,nn.supraclaviculares,,,,,,,,
§3,"肋骨の外側縁のやや外側で各肋骨に対応して出てくる皮神経が [ 1 ] の [ 2 ] である",肋間神経,nn.intercostales,前皮枝,r.cutaneus anterior,,,,,,
§3,"肋間神経の前皮枝の部出には [ 1 ] の枝が目印となる",内胸動静脈,a.et v.thoracica interna,,,,,,,,
